Drug	Drug_id	Drug_type	Drug_type_id
sapacitabine	C0764827	nucleotide	null
Trabedersen	C2699985	nucleotide	null
IMO-2055	C1708303	nucleotide	null
tezacitabine	C0253087	nucleotide	null
carmofur	C0044401	nucleotide	null
guadecitabine	C3899005	nucleotide	null
Zelavespib	C5446178	nucleotide	null
9H-purine-9-propanamine, 6-amino-8-((6-iodo-1,3-benzodioxol-5-yl)thio)-N-(1-methylethyl)-	C3502086	nucleotide	null
8-((6-Iodobenzo[d][1,3]dioxol-5-yl)thio)-9-(3-(isopropylamino)propyl)-9H-purin-6-amine	C5761880	nucleotide	null
fiacitabine	C0045211	nucleotide	null
Pinometostat	C4519747	nucleotide	null
oblimersen	C0914297	nucleotide	null
osgemcitabine palabenamide	C5834085	nucleotide	null
6-[4-Deoxy-4-[(2E,4E)-tetradecadienoylglycyl]amino-L-glycero-B-L-manno-heptopyranosyl]amino-9H-purine	C5761890	nucleotide	null
KRN 5500	C0294829	nucleotide	null
pinacidil	C0071074	nucleotide	null
Pinacidil Anhydrous	C0886544	nucleotide	null
vidarabine	C0042646	nucleotide	null
emtricitabine	C0909839	nucleotide	null
mipomersen	C2604635	nucleotide	null
cedazuridine	C5226860	nucleotide	null
Zovirax	C0592290	nucleotide	null
Aci-Sanorania	C1449447	nucleotide	null
Cusiviral	C1449462	nucleotide	null
Laciken	C1449467	nucleotide	null
Virax-Puren	C1449477	nucleotide	null
Clonorax	C1449461	nucleotide	null
Mapox	C1449468	nucleotide	null
Opthavir	C1449471	nucleotide	null
Viclovir	C1449472	nucleotide	null
Virherpes	C1449481	nucleotide	null
Virmen	C1449482	nucleotide	null
Herpetad	C0594013	nucleotide	null
Aciclostad	C1449449	nucleotide	null
Herpoviric	C1449466	nucleotide	null
Zyclir	C1449473	nucleotide	null
Virupos	C1449478	nucleotide	null
Isavir	C1449486	nucleotide	null
Acivir	C1449485	nucleotide	null
Aciclobeta	C1449448	nucleotide	null
Acipen Solutab	C1449452	nucleotide	null
Activir	C1449453	nucleotide	null
Acyclo-V	C1449456	nucleotide	null
Avirax	C1449457	nucleotide	null
Herpofug	C1449464	nucleotide	null
Herpotern	C1449465	nucleotide	null
Vira-A	C0699565	nucleotide	null
Leustatin	C0701346	nucleotide	null
Vidaza	C1563756	nucleotide	null
NSC-102816	C0878254	nucleotide	null
8-hydroxyguanosine	C0050092	nucleotide	null
MIRN152 microRNA, mouse	C2935382	nucleotide	null
Dacogen	C1712036	nucleotide	null
NSC 127716	C0950333	nucleotide	null
Gemzar	C0338133	nucleotide	null
2'-Deoxy-2',2''-Difluorocytidine-5'-O-Monophosphate	C0971191	nucleotide	null
Gemcitabine, (alpha-D-threo-pentofuranosyl)-Isomer	C0957657	nucleotide	null
Gemcitabine, (beta-D-threo-pentafuranosyl)-Isomer	C0970656	nucleotide	null
Gemcitabine, (D-threo-pentafuranosyl)-Isomer	C0957658	nucleotide	null
gemcitabine hydrochloride	C0771488	nucleotide	null
2'-CMP	C0000190	nucleotide	null
3'-CMP	C0000364	nucleotide	null
9-(2-Phosphonylmethoxypropyl)adenine, (R)-isomer - T357098	C0384226	nucleotide	null
9-(2-Phosphonylmethoxypropyl)adenine, (S)-isomer	C0893264	nucleotide	null
9-(2-Phosphonylmethoxypropyl)adenine, (+-)-isomer	C0893263	nucleotide	null
Viread	C1101609	nucleotide	null
PSI 7977	C2976304	nucleotide	null
Rebetol	C1170576	nucleotide	null
Virazole	C1622085	nucleotide	null
Ribamide	C0702024	nucleotide	null
Viramide	C0702029	nucleotide	null
ICN-1229	C0702025	nucleotide	null
Virazide	C1564036	nucleotide	null
Ribasphere	C1564336	nucleotide	null
mizoribine 5'-monophosphate	C0604221	nucleotide	null
Lamivudine, (+)-cis-	C5691447	nucleotide	null
Lamivudine, (+-)-trans-	C5691431	nucleotide	null
Lamivudine, (2S-cis)-Isomer	C0886625	nucleotide	null
Epivir	C0678151	nucleotide	null
BCH-189	C0287213	nucleotide	null
GR-109714X	C0733528	nucleotide	null
Baraclude	C1568876	nucleotide	null
SQ-34676	C2987700	nucleotide	null
BMS-200475-01	C2987701	nucleotide	null
Vaccines, DNA	C0376613	nucleotide	null
MK 0518	C1701590	nucleotide	null
Isentress	C1967563	nucleotide	null
Endopeptidases	C0030946	enzyme	null
Histone deacetylase inhibitor	C1512474	enzyme	null
Enzymes, hematological	C3540017	enzyme	null
Superoxide Dismutase	C0038838	enzyme	null
Muramidase	C0026794	enzyme	null
Lipolytic enzyme	C0544422	enzyme	null
Amylases	C0002712	enzyme	null
Lipase	C0023764	enzyme	null
TRYPSIN	C0041236	enzyme	null
Thrombin	C0040018	enzyme	null
Hyaluronidase	C0020197	enzyme	null
Glycoside Hydrolases	C0017976	enzyme	null
Papain	C0030346	enzyme	null
Digestive Enzymes	C0544420	enzyme	null
ranpirnase	C0069919	enzyme	null
Alpha-glucosidase	C0002272	enzyme	null
CHYMOTRYPSIN	C0008742	enzyme	null
Pancreatic lipase	C0443469	enzyme	null
Urokinase	C0042071	enzyme	null
Pancreatic enzyme	C0920330	enzyme	null
Streptokinase	C0038418	enzyme	null
CELLULASE	C0007641	enzyme	null
Dopachrome isomerase	C0114832	enzyme	null
COLLAGENASE	C0162745	enzyme	null
alteplase	C0032143	enzyme	null
factor XIII	C0015528	enzyme	null
Plasmin	C0016016	enzyme	null
velaglucerase alfa	C2919267	enzyme	null
Pancreatin	C0030304	enzyme	null
beta-Galactosidase	C0005220	enzyme	null
Kininogenase	C0022478	enzyme	null
Bromelains	C0006217	enzyme	null
AMP-activated protein kinase kinase	C0252214	enzyme	null
TRYPSIN-CHYMOTRYPSIN	C0993235	enzyme	null
Tryptar preparation	C0544421	enzyme	null
Hyaluronidase, Bovine	C1615665	enzyme	null
protease	C5200997	enzyme	null
streptodornase	C0038415	enzyme	null
Activase	C0701942	enzyme	null
Actilyse	C0678113	enzyme	null
Lactaid	C0733877	enzyme	null
Lactrase	C0721296	enzyme	null
Dairyaid	C1564491	enzyme	null
Lactogest	C1564492	enzyme	null
deoxyribonucleases	C0011522	enzyme	null
Acidin-Pepsin	C0001120	enzyme	null
Endoglycosidases	C3537242	enzyme	null
Thrombostat	C0702033	enzyme	null
Thrombinar	C0702032	enzyme	null
Thrombin-JMI	C1099324	enzyme	null
Leftose	C0023215	enzyme	null
azzalure	C4310350	enzyme	null
alpha-Amylases	C0002245	enzyme	null
Alpha-Amylase Bayer	C1564486	enzyme	null
Maxilase	C1564487	enzyme	null
Mégamylase	C1564488	enzyme	null
Fibrogammin	C1564746	enzyme	null
Thrombolysin	C0733564	enzyme	null
cocaine hydrolase	C5198009	enzyme	null
Alphacutanée	C1564766	enzyme	null
Avazyme	C1564765	enzyme	null
Alpha-Chymotrypsin Choay	C1564767	enzyme	null
Pepsin 1	C0030910	enzyme	null
pepsin A	C0030909	enzyme	null
Pepsin 3	C0030911	enzyme	null
Kidney Plasminogen Activator	C0086506	enzyme	null
Single-Chain Urokinase-Type Plasminogen Activator	C0086987	enzyme	null
Renokinase	C0701940	enzyme	null
Abbokinase	C0701941	enzyme	null
Avelizin	C0699214	enzyme	null
Awelysin	C0699215	enzyme	null
Distreptase	C0699217	enzyme	null
Kabivitrum	C0699218	enzyme	null
Streptodecase	C0699219	enzyme	null
Streptase	C0699213	enzyme	null
Kabikinase	C0699212	enzyme	null
Celiase	C0699216	enzyme	null
collagenase Clostridium histolyticum	C0009053	enzyme	null
factor VIIa	C0015505	enzyme	null
coagulation factor X, human	C2826078	enzyme	null
ancrod	C0002823	enzyme	null
tenecteplase	C0872913	enzyme	null
salivary plasminogen activator alpha 1, Desmodus rotundus	C0141449	enzyme	null
reteplase	C0256103	enzyme	null
anistreplase	C0078956	enzyme	null
Imlifidase	C5139878	enzyme	null
pegaspargase	C0071568	enzyme	null
pegloticase	C2350656	enzyme	null
Puricase	C2350657	enzyme	null
pegademase bovine	C0164674	enzyme	null
asparaginase	C0003993	enzyme	null
Escherichia coli asparaginase	C1269691	enzyme	null
sitimagene ceradenovec	C2354637	enzyme	null
asparaginase Erwinia chrysanthemi (recombinant)-rywn	C5539923	enzyme	null
asparaginase Erwinia chrysanthemi	C3255208	enzyme	null
Erwinaze	C3248039	enzyme	null
Erwinase	C0591457	enzyme	null
Pegylated Recombinant Human Arginase I	C5432235	enzyme	null
BCT-100	C2981808	enzyme	null
hyaluronidase, ovine	C1577331	enzyme	null
rasburicase	C0937932	enzyme	null
pancrelipase protease	C2722896	enzyme	null
pancrelipase	C0770343	enzyme	null
Pancreatinum	C4721558	enzyme	null
agalsidase beta	C1137427	enzyme	null
alpha-D-galactosidase enzyme	C0002268	enzyme	null
agalsidase alfa	C0962517	enzyme	null
glucarpidase	C0007072	enzyme	null
hyaluronidase, human recombinant	C1720035	enzyme	null
hyaluronidase-fihj	C5383290	enzyme	null
hyaluronidase-zzxf	C5389886	enzyme	null
calaspargase pegol	C2699709	enzyme	null
calaspargase pegol-mknl	C4745457	enzyme	null
alglucosidase alfa	C1695579	enzyme	null
imiglucerase	C0291140	enzyme	null
taliglucerase alfa	C3273401	enzyme	null
Myozyme	C1703294	enzyme	null
Lumizyme	C2828340	enzyme	null
Phenylalanine Ammonia-Lyase	C0031454	enzyme	null
Enzyme agent	C0360722	enzyme	null
thioredoxin peroxidase	C0633227	enzyme	null
ADI PEG20	C1328192	enzyme	null
Pegargiminase	C4721782	enzyme	null
BAX930	C4547518	enzyme	null
Nexviazyme	C5550570	enzyme	null
Fabrazyme	C1137428	enzyme	null
Cerezyme	C0291139	enzyme	null
Xenpozyme	C5703716	enzyme	null
olipudase alfa	C4278198	enzyme	null
Ceredase	C0109081	enzyme	null
alglucerase	C0102139	enzyme	null
CaM kinase I activator	C0383017	enzyme	null
Iduronate Sulfatase	C0020814	enzyme	null
Crasnitin	C0699261	enzyme	null
Elspar	C0699262	enzyme	null
Asparaginase medac	C1257719	enzyme	null
Leunase	C1257720	enzyme	null
Paronal	C1257721	enzyme	null
Kidrolase	C5441916	enzyme	null
sebelipase alfa	C4050579	enzyme	null
Ubiquinone Q2	C0077666	enzyme	null
Tetracycline	C0039644	antibiotic	null
Sirolimus	C0072980	antibiotic	null
17-(dimethylaminoethylamino)-17-demethoxygeldanamycin	C1527262	antibiotic	null
Today	C0310367	antibiotic	null
Trimethoprim	C0041041	antibiotic	null
Sulfamethoxazole	C0038689	antibiotic	null
Fleroxacin	C0085161	antibiotic	null
Zmax	C1614132	antibiotic	null
Mitomycin	C0002475	antibiotic	null
Doxycycline	C0013090	antibiotic	null
Rifamycins	C0035609	antibiotic	null
Oligomycins	C0028951	antibiotic	null
Doxorubicin	C0013089	antibiotic	null
Streptozocin	C0038432	antibiotic	null
moxifloxacin	C0536495	antibiotic	null
Cephradine	C0007738	antibiotic	null
Minocycline	C0026187	antibiotic	null
Azithromycin	C0052796	antibiotic	null
Amoxicillin	C0002645	antibiotic	null
Clarithromycin	C0055856	antibiotic	null
carzinophilin	C0054841	antibiotic	null
Rifampin	C0035608	antibiotic	null
Amphotericin B	C0002679	antibiotic	null
Troleandomycin	C0041165	antibiotic	null
essramycin	C2605537	antibiotic	null
omadacycline	C2983838	antibiotic	null
Antibiotics, Aminoglycoside	C0003233	antibiotic	null
tanespimycin	C0675974	antibiotic	null
enrofloxacin	C0059374	antibiotic	null
difloxacin	C0057993	antibiotic	null
Pefloxacin	C0030771	antibiotic	null
sparfloxacin	C0052585	antibiotic	null
Oxolinic Acid	C0030031	antibiotic	null
hyperforin	C0063217	antibiotic	null
Sulfonamide Anti-Infective Agents	C0599503	antibiotic	null
Geldanamycin Analogue	C0796552	antibiotic	null
erythro	C0699343	antibiotic	null
chlorozotocin	C0055465	antibiotic	null
Anisomycin	C0003082	antibiotic	null
thermozymocidin	C0076394	antibiotic	null
Erythromycin	C0014806	antibiotic	null
Septa	C0723285	antibiotic	null
Novobiocin	C0028458	antibiotic	null
Anthracycline Antibiotics	C0003234	antibiotic	null
trichostatin A	C0077063	antibiotic	null
Oxytetracycline	C0030092	antibiotic	null
Daunorubicin	C0011015	antibiotic	null
Aclarubicin	C0001143	antibiotic	null
Sulfaguanidine	C0038681	antibiotic	null
Ceftriaxone	C0007561	antibiotic	null
Cephalosporins	C3536856	antibiotic	null
Citrinin	C0008861	antibiotic	null
loracarbef	C0065295	antibiotic	null
Antibiotic 503-3	C2987666	antibiotic	null
Gentamicin Sulfate (USP)	C0546866	antibiotic	null
Nystatin	C0028741	antibiotic	null
Ampicillin	C0002680	antibiotic	null
Chloramphenicol	C0008168	antibiotic	null
Sulfamethazine	C0038686	antibiotic	null
Lactams	C0022914	antibiotic	null
Monobactams	C0026458	antibiotic	null
Brefeldin A	C0054036	antibiotic	null
Prospec	C2830187	antibiotic	null
Antimycin A	C0003387	antibiotic	null
Cycloheximide	C0010572	antibiotic	null
antibiotic G 418	C0052009	antibiotic	null
Sisomicin	C0037209	antibiotic	null
Neomycin	C0027603	antibiotic	null
Daunorubicin Hydrochloride	C0282123	antibiotic	null
Chromomycin A3	C0040563	antibiotic	null
Kanamycin	C0022487	antibiotic	null
neamine	C0027515	antibiotic	null
Framycetin	C0016673	antibiotic	null
A-23187	C0878412	antibiotic	null
Penicillins	C0030842	antibiotic	null
Streptomycin	C0038425	antibiotic	null
PENSTREP	C0309732	antibiotic	null
Amphotericin	C0085795	antibiotic	null
antimycin	C0052078	antibiotic	null
Mycophenolic Acid	C0026933	antibiotic	null
tetracycline hydrochloride	C0546879	antibiotic	null
Streptomycin Sulfate	C0038426	antibiotic	null
Penicillin G	C0030827	antibiotic	null
Rapamune	C0813828	antibiotic	null
Ceftazidime	C0007559	antibiotic	null
Cefoperazone	C0007552	antibiotic	null
meropenem	C0066005	antibiotic	null
Rutamycin	C0035972	antibiotic	null
geldanamycin	C0061179	antibiotic	null
Carbenicillin	C0006976	antibiotic	null
Monensin	C0026408	antibiotic	null
Filipin	C0016095	antibiotic	null
A/T/S	C0718146	antibiotic	null
TM -50	C0310363	antibiotic	null
TM -10	C0310362	antibiotic	null
becatecarin	C0936065	antibiotic	null
Clindamycin	C0008947	antibiotic	null
Lincosamide Antibiotic	C2826567	antibiotic	null
Clavulanate	C0110038	antibiotic	null
Moxalactam	C0026651	antibiotic	null
Gentamicins	C0017436	antibiotic	null
Paromomycin	C0030576	antibiotic	null
PS 5	C0072520	antibiotic	null
antibiotic PS 8	C0616908	antibiotic	null
meclocycline	C0065841	antibiotic	null
Chromomycin	C0520455	antibiotic	null
sultamicillin	C0075629	antibiotic	null
Plicamycin	C0026234	antibiotic	null
NSC-26980	C0702048	antibiotic	null
Mitocin-C	C0702049	antibiotic	null
Mutamycin	C0702051	antibiotic	null
Ametycine	C0702050	antibiotic	null
doxycycline hyclate	C0058731	antibiotic	null
Doxycycline Monohydrochloride, 6-epimer	C0887343	antibiotic	null
Doxycycline Phosphate (1:1)	C0887344	antibiotic	null
Doxycycline Monohydrochloride, Dihydrate	C0887345	antibiotic	null
Doxycycline Calcium Salt (1:2)	C0887346	antibiotic	null
Doxycycline-Chinoin	C0877818	antibiotic	null
BU-3839T	C0013091	antibiotic	null
Vibramycin	C0699957	antibiotic	null
Vibravenos	C0701101	antibiotic	null
Doryx	C0720025	antibiotic	null
doxycycline monohydrate	C0700451	antibiotic	null
BMY-28689	C0917840	antibiotic	null
Hydramycin	C0122719	antibiotic	null
Vibramycin Novum	C0282156	antibiotic	null
doxycycline calcium	C0282155	antibiotic	null
Oracea	C1724190	antibiotic	null
ciprofloxacin hydrochloride	C0282104	antibiotic	null
doxorubicin hydrochloride	C0546861	antibiotic	null
Myocet	C1512062	antibiotic	null
Erythromycin C	C0600214	antibiotic	null
Ilotycin	C0699339	antibiotic	null
Erycette	C0699349	antibiotic	null
Erymax	C0699350	antibiotic	null
T-Stat	C0699351	antibiotic	null
Erythromycin Lactate	C0014812	antibiotic	null
erythromycin phosphate	C0014813	antibiotic	null
Antibiotic 6640	C0919254	antibiotic	null
Sch-13475	C0919288	antibiotic	null
AY 22-989	C0878382	antibiotic	null
Kantrex	C0022491	antibiotic	null
kanamycin A	C0022489	antibiotic	null
Toyomicin	C0917882	antibiotic	null
NSC-89671	C0878208	antibiotic	null
Antimycin A1	C0003388	antibiotic	null
salinomycin	C0073987	antibiotic	null
Coxistac	C0950283	antibiotic	null
K 364	C0124361	antibiotic	null
salinomycin monosodium salt	C0952108	antibiotic	null
4-Epitetracycline	C0000488	antibiotic	null
Topicycline	C0001086	antibiotic	null
Hostacyclin	C0699125	antibiotic	null
Tetrabid	C0699127	antibiotic	null
Sustamycin	C0699126	antibiotic	null
Achromycin V	C0677059	antibiotic	null
Achromycin	C0740484	antibiotic	null
Ansamycins	C0051936	antibiotic	null
lactacystin	C0125179	antibiotic	null
Quinodis	C1564754	antibiotic	null
Cephradine, Non-Stoichiometric Hydrate	C0887479	antibiotic	null
Cephradine Dihydrate	C0887480	antibiotic	null
Kelsef	C1564630	antibiotic	null
Maxisporin	C1564631	antibiotic	null
Dexef	C1564629	antibiotic	null
Septacef	C1564632	antibiotic	null
Velocef	C1564640	antibiotic	null
Velosef	C0699948	antibiotic	null
Anspor	C0729027	antibiotic	null
SQ-11436	C0729054	antibiotic	null
Sefril	C0729052	antibiotic	null
amoxicillin trihydrate	C0521900	antibiotic	null
Amoxicillin, (R*)-Isomer	C0887550	antibiotic	null
amoxicillin anhydrous	C2828282	antibiotic	null
Penamox	C0740072	antibiotic	null
Amoxil	C0700524	antibiotic	null
Wymox	C0041058	antibiotic	null
Trimox	C0723903	antibiotic	null
Polymox	C0740069	antibiotic	null
BRL-2333	C0740070	antibiotic	null
amoxicillin sodium	C0887551	antibiotic	null
Amoxicillin Monopotassium Salt	C0887552	antibiotic	null
Actimoxi	C1449603	antibiotic	null
Zanosar	C0724450	antibiotic	null
Oxytetracycline, (4a beta,5 beta,5a beta,12a beta)-Isomer	C0887050	antibiotic	null
Oxytetracycline, (5 beta)-Isomer	C0887051	antibiotic	null
oxytetracycline dihydrate	C0887052	antibiotic	null
Oxytetracycline, Sodium Salt	C0887055	antibiotic	null
Oxytetracycline, Calcium (1:1) Salt	C0887056	antibiotic	null
Oxytetracycline Sulfate (2:1)	C0887054	antibiotic	null
Oxyterracin	C0701904	antibiotic	null
Oxytetracid	C0702184	antibiotic	null
Terramycin	C0699935	antibiotic	null
Geomycin	C0701906	antibiotic	null
Bisolvomycin	C0701907	antibiotic	null
oxytetracycline anhydrous	C2698682	antibiotic	null
oxytetracycline calcium	C0282277	antibiotic	null
Oxytetracycline, Disodium Salt, Dihydrate	C0949397	antibiotic	null
Oxytetracycline Monohydrochloride	C0949396	antibiotic	null
oxytetracycline hydrochloride	C0017449	antibiotic	null
9,10-anthraquinone	C0050133	antibiotic	null
Morkit	C1510920	antibiotic	null
Calcimycin	C0000699	antibiotic	null
Akamin	C1563989	antibiotic	null
Cyclomin	C0591310	antibiotic	null
Aknemin	C0591049	antibiotic	null
Blemix	C0591183	antibiotic	null
Minocin	C0591806	antibiotic	null
Arestin	C1170070	antibiotic	null
Minocycline, (4R-(4 alpha,4a beta,5a beta,12a beta))-Isomer	C0887131	antibiotic	null
Dynacin	C0720114	antibiotic	null
Lederderm	C1563994	antibiotic	null
Akne-Puren	C1563990	antibiotic	null
Aknosan	C1563992	antibiotic	null
Minoclir	C1563999	antibiotic	null
Minolis	C1564493	antibiotic	null
Minox 50	C1563988	antibiotic	null
Icht-Oral	C1563995	antibiotic	null
Aknin-Mino	C1563991	antibiotic	null
Mino-Wolff	C1563998	antibiotic	null
Minoplus	C1564494	antibiotic	null
Cyclops brand of minocycline hydrochloride	C1578615	antibiotic	null
Klinomycin	C1563996	antibiotic	null
Dentomycin	C0731509	antibiotic	null
Minomycin	C3281328	antibiotic	null
Biaxin	C0701281	antibiotic	null
TE-031	C0701280	antibiotic	null
A-56268	C0701282	antibiotic	null
Lorafem	C1436898	antibiotic	null
Lorax	C1436896	antibiotic	null
Carbac	C1436897	antibiotic	null
KT 3777	C0740022	antibiotic	null
Lorabid	C0721422	antibiotic	null
loracarbef monohydrate	C1436895	antibiotic	null
LY 163892	C0740024	antibiotic	null
Oxazolidinones	C0887953	antibiotic	null
Rimactane	C0699925	antibiotic	null
Tubocin	C0733665	antibiotic	null
Rimactan	C0733664	antibiotic	null
Nystatin A2	C0086726	antibiotic	null
Nystatin A1	C0086725	antibiotic	null
Fungicidin	C0699476	antibiotic	null
Nilstat	C0699478	antibiotic	null
Stamycin	C0699480	antibiotic	null
Mycostatin	C0699477	antibiotic	null
Stamicin	C0699479	antibiotic	null
Nystatin G	C0028743	antibiotic	null
Nystatin A3	C0028742	antibiotic	null
Sulfanilamide Strontium Salt	C0972065	antibiotic	null
Sulfanilamide Monohydrate	C0955925	antibiotic	null
Sulfanilamide Barium Salt	C0955929	antibiotic	null
Sulfanilamide Cadmium Salt	C0955931	antibiotic	null
Sulfanilamide Sodium Salt	C0955924	antibiotic	null
Sulfanilamide Silver Salt	C0955926	antibiotic	null
Sulfanilamide Magnesium Salt	C0955928	antibiotic	null
Sulfanilamide Zinc Salt	C0955930	antibiotic	null
Sulfanilamide Hydrochloride	C0955932	antibiotic	null
sulfanilamide	C0038702	antibiotic	null
Sulfanilamide Lithium Salt	C0955927	antibiotic	null
Flagecidin	C0947664	antibiotic	null
Solosec	C4529543	antibiotic	null
AT 4140	C0104491	antibiotic	null
CI 978	C0109739	antibiotic	null
PD 131501	C0135700	antibiotic	null
Zagam	C0724448	antibiotic	null
sulfisoxazole diolamine	C0038746	antibiotic	null
ceftriaxone sodium	C0700527	antibiotic	null
Ceftriaxone Irex	C1564649	antibiotic	null
Cefaxona	C1564647	antibiotic	null
Ceftrex	C1564648	antibiotic	null
Ceftriaxon Curamed	C1564651	antibiotic	null
Ceftriaxona Andreu	C1564653	antibiotic	null
Benaxona	C1564646	antibiotic	null
Ceftriaxona LDP Torlan	C1564650	antibiotic	null
Ceftriaxon Hexal	C1564652	antibiotic	null
Lendacin	C1136248	antibiotic	null
Tacex	C1564644	antibiotic	null
Terbac	C1564645	antibiotic	null
Ro13-9904	C0733785	antibiotic	null
Ceftriaxone Sodium, Anhydrous	C0949252	antibiotic	null
Longacef	C0733786	antibiotic	null
Rocephin	C0035750	antibiotic	null
Levomicetina	C4256055	antibiotic	null
MTC-DOX for Injection	C5834504	antibiotic	null
daunorubicin liposomal	C0717668	antibiotic	null
MTC-DOX	C1134452	antibiotic	null
Cephaloglycin	C0007721	antibiotic	null
cefaclor	C0007537	antibiotic	null
cefaclor anhydrous	C2699131	antibiotic	null
ceforanide	C0055008	antibiotic	null
cefuroxime	C0007562	antibiotic	null
cefotiam	C0007556	antibiotic	null
Cefmenoxime	C0007549	antibiotic	null
cefmetazole	C0007550	antibiotic	null
ceftazidime anhydrous	C2983899	antibiotic	null
Anhydrous loracarbef	C1881444	antibiotic	null
cephalothin	C0007735	antibiotic	null
cefotaxime	C0007554	antibiotic	null
cefdinir	C0060405	antibiotic	null
cephalexin	C0007716	antibiotic	null
cephalexin anhydrous	C2699162	antibiotic	null
cefixime	C0060400	antibiotic	null
cefixime anhydrous	C3661490	antibiotic	null
Cephaloglycin anhydrous	C2699163	antibiotic	null
cefadroxil	C0007538	antibiotic	null
cefadroxil anhydrous	C2699132	antibiotic	null
cefprozil anhydrous	C2699143	antibiotic	null
cefprozil	C0053882	antibiotic	null
cefazolin	C0007546	antibiotic	null
Cefamezine	C0700930	antibiotic	null
cephapirin	C0007737	antibiotic	null
Cefadole	C4255698	antibiotic	null
cefamandole	C0007541	antibiotic	null
cefoxitin	C0007557	antibiotic	null
cefonicid	C0007551	antibiotic	null
cefotetan	C0007555	antibiotic	null
Rephoxitin	C4255697	antibiotic	null
ceftibuten	C0055014	antibiotic	null
Festamoxin	C0878141	antibiotic	null
ceftobiprole	C1100584	antibiotic	null
ceftaroline fosamil	C2001525	antibiotic	null
ceftolozane	C3852726	antibiotic	null
flomoxef	C0117881	antibiotic	null
tazobactam	C0075870	antibiotic	null
ceftizoxime	C0007560	antibiotic	null
cefepime	C0055003	antibiotic	null
cefpodoxime	C0055011	antibiotic	null
ceftaroline	C2001521	antibiotic	null
cephaloridine	C0007727	antibiotic	null
cefroxadine	C0108941	antibiotic	null
cefpirome	C0062986	antibiotic	null
cefamandole nafate	C0054995	antibiotic	null
doxycycline anhydrous	C2699808	antibiotic	null
Albamycin	C0718316	antibiotic	null
pirarubicin	C0071126	antibiotic	null
Theprubicin	C0950476	antibiotic	null
grepafloxacin	C0287721	antibiotic	null
temafloxacin	C0076075	antibiotic	null
sulfadiazine	C0038675	antibiotic	null
fusidate	C0369246	antibiotic	null
fusidic acid	C0016875	antibiotic	null
Ramycin	C4255637	antibiotic	null
pretomanid	C4310440	antibiotic	null
telithromycin	C0907410	antibiotic	null
cethromycin	C1317928	antibiotic	null
roxithromycin	C0035891	antibiotic	null
levofloxacin anhydrous	C3661457	antibiotic	null
gemifloxacin	C0533545	antibiotic	null
garenoxacin	C1507354	antibiotic	null
bedaquiline	C1664205	antibiotic	null
trovafloxacin	C0379881	antibiotic	null
nalidixic acid	C0027353	antibiotic	null
levofloxacin	C0282386	antibiotic	null
ofloxacin	C0028902	antibiotic	null
sitafloxacin	C0171447	antibiotic	null
rosoxacin	C0073591	antibiotic	null
gatifloxacin anhydrous	C3848583	antibiotic	null
gatifloxacin	C0753645	antibiotic	null
sarafloxacin	C0050308	antibiotic	null
delafloxacin	C2828290	antibiotic	null
prulifloxacin	C0527129	antibiotic	null
Delamanid	C3489682	antibiotic	null
dihydrostreptomycin	C0262967	antibiotic	null
aztreonam	C0004521	antibiotic	null
ampicillin (anhydrous)	C0724526	antibiotic	null
ertapenem	C1120106	antibiotic	null
piperacillin	C0031955	antibiotic	null
piperacillin anhydrous	C1882383	antibiotic	null
Deschlorobiomycin	C4255917	antibiotic	null
Abramycin	C4255918	antibiotic	null
oxacillin	C0029983	antibiotic	null
meropenem anhydrous	C1881787	antibiotic	null
fosfomycin	C0016610	antibiotic	null
doripenem	C0389169	antibiotic	null
sulbactam	C0038665	antibiotic	null
penicillin G procaine	C0030830	antibiotic	null
vaborbactam	C4519317	antibiotic	null
amikacin	C0002499	antibiotic	null
Kaomycine	C4718971	antibiotic	null
arbekacin	C4082272	antibiotic	null
tobramycin	C0040341	antibiotic	null
netilmicin	C0027780	antibiotic	null
Fradiomycin	C4718970	antibiotic	null
Vonamycin	C4718972	antibiotic	null
Ribostamycin	C0035554	antibiotic	null
Habekacin	C0062073	antibiotic	null
plazomicin	C3502652	antibiotic	null
amphotericin B liposomal	C1145701	antibiotic	null
valrubicin	C0068314	antibiotic	null
elsamicin A	C0059041	antibiotic	null
amrubicin	C0762659	antibiotic	null
Porfiromycin	C0032697	antibiotic	null
O-(Chloroacetylcarbamoyl)fumagillol	C0081489	antibiotic	null
clinafloxacin	C0070191	antibiotic	null
sulfacytine	C0262960	antibiotic	null
sulfadimethoxine	C0038676	antibiotic	null
Sulfaphenazole	C0038706	antibiotic	null
sulfapyridine	C0038710	antibiotic	null
Sulfameter	C0038685	antibiotic	null
Prontosil album	C4256126	antibiotic	null
Streptocide	C4256125	antibiotic	null
mafenide	C0024452	antibiotic	null
demeclocycline	C0011276	antibiotic	null
retapamulin	C1703334	antibiotic	null
tigecycline	C1260298	antibiotic	null
Embryostat	C4255997	antibiotic	null
rolitetracycline	C0035823	antibiotic	null
lymecycline	C0024200	antibiotic	null
Mepatar	C4255996	antibiotic	null
methacycline	C0025603	antibiotic	null
lincomycin	C0023726	antibiotic	null
chlortetracycline	C0008293	antibiotic	null
rifamycin SV	C0073371	antibiotic	null
Doxorubicin HCl with pluronic L-61 and pluronic F-127	C5834507	antibiotic	null
sabarubicin	C0664590	antibiotic	null
