Disease	Disease_id	Therapeutic_area	Therapeutic_area_id	
Esotropia	C0014877	Other specified strabismus	C0029831	
cyclotropia	C0152209	Other specified strabismus	C0029831	
Hypertropia	C0020575	Other specified strabismus	C0029831	
Mechanical Strabismus	C0152223	Other specified strabismus	C0029831	
Internuclear Ophthalmoplegia	C0152134	Other specified strabismus	C0029831	
Intermittent tropia	C0152210	Other specified strabismus	C0029831	
Binocular vision disorder	C0005461	Other specified strabismus	C0029831	
Duane Retraction Syndrome	C0013261	Other specified strabismus	C0029831	
Palsy of conjugate gaze	C0702143	Other specified strabismus	C0029831	
Exotropia	C0015310	Other specified strabismus	C0029831	
Paralytic strabismus	C0152221	Other specified strabismus	C0029831	
Toxic maculopathy	C0271086	Degeneration of macula and posterior pole of retina	C0339436	
Retinal Drusen	C0035312	Degeneration of macula and posterior pole of retina	C0339436	
Epiretinal Membrane	C0339543	Degeneration of macula and posterior pole of retina	C0339436	
Cystoid macular retinal degeneration	C0154850	Degeneration of macula and posterior pole of retina	C0339436	
Degeneration of macula due to cyst, hole or pseudohole	C1261331	Degeneration of macula and posterior pole of retina	C0339436	
Exudative age-related macular degeneration	C0271084	Degeneration of macula and posterior pole of retina	C0339436	
Age related macular degeneration	C0242383	Degeneration of macula and posterior pole of retina	C0339436	
Thrombophlebitis migrans	C0152250	Thrombophlebitis of superficial veins of lower extremity	C0265057	
Thrombophlebitis of the femoral vein	C0265066	Thrombophlebitis of superficial veins of lower extremity	C0265057	
Phlebitis and thrombophlebitis of iliac vein	C0155772	Thrombophlebitis of superficial veins of lower extremity	C0265057	
Boutonneuse Fever	C0006060	Spotted Fever Group Rickettsiosis	C0038041	
Rickettsialpox	C0035597	Spotted Fever Group Rickettsiosis	C0038041	
North Asian Tick Typhus	C0549160	Spotted Fever Group Rickettsiosis	C0038041	
POEMS Syndrome	C0085404	Blood Protein Disorders	C0005830	
Sulfhemoglobinemia	C0038732	Blood Protein Disorders	C0005830	
Hemoglobin SC Disease	C0019034	Blood Protein Disorders	C0005830	
Moyamoya Disease	C0026654	Cerebral Arterial Diseases	C0007774	
Intracranial Aneurysm	C0007766	Cerebral Arterial Diseases	C0007774	
Cholesteatoma of attic	C0155489	Middle Ear Cholesteatoma	C0155490	
Cholesteatoma of external ear	C0155398	Cholesteatoma	C0008373	
Maxillary Sinus Cholesteatoma	C1334644	Cholesteatoma	C0008373	
Middle Ear Cholesteatoma	C0155490	Cholesteatoma	C0008373	
Chronic salpingo-oophoritis	C0156328	Tubo-ovarian inflammatory disease	C0036133	
Acute salpingo-oophoritis	C0156327	Tubo-ovarian inflammatory disease	C0036133	
Tubo-ovarian inflammatory disease	C0036133	Oophoritis	C0029051	
Acute gonococcal salpingitis	C0275654	Acute salpingitis	C0269038	
Pyosalpinx	C0034220	Salpingitis	C0036130	
Chronic salpingitis	C0269041	Salpingitis	C0036130	
Acute salpingitis	C0269038	Salpingitis	C0036130	
Articular cartilage disorder	C0158073	Cartilage Diseases	C0007302	
Discitis	C0012624	Cartilage Diseases	C0007302	
Familial Mediterranean Fever	C0031069	Ankylosing spondylitis and other inflammatory spondylopathies	C0003089	
Jaccoud's syndrome	C0152084	Ankylosing spondylitis and other inflammatory spondylopathies	C0003089	
Mikulicz Disease	C0026103	Ankylosing spondylitis and other inflammatory spondylopathies	C0003089	
Common Variable Immunodeficiency	C0009447	Ankylosing spondylitis and other inflammatory spondylopathies	C0003089	
Felty Syndrome	C0015773	Ankylosing spondylitis and other inflammatory spondylopathies	C0003089	
Threatened abortion	C0000821	Placental Non-Neoplastic Disorder	C1335423	
Placenta Accreta	C0032044	Placental Non-Neoplastic Disorder	C1335423	
Placental Insufficiency	C0032051	Placental Non-Neoplastic Disorder	C1335423	
Malignant Placental Neoplasm	C0153572	Placental Non-Neoplastic Disorder	C1335423	
Oligohydramnios	C0079924	Placental Non-Neoplastic Disorder	C1335423	
Placenta Previa	C0032046	Placental Non-Neoplastic Disorder	C1335423	
Mite Infestations	C0026229	Ectoparasitic Infestations	C0013578	
Lice Infestations	C0030756	Ectoparasitic Infestations	C0013578	
Tick Infestations	C0040196	Ectoparasitic Infestations	C0013578	
Myiasis	C0027030	Ectoparasitic Infestations	C0013578	
Leech infestation	C0019575	Ectoparasitic Infestations	C0013578	
Screw Worm Infection	C0036465	Myiasis	C0027030	
Hypodermyiasis	C0020607	Myiasis	C0027030	
Other ureteric obstruction	C0029866	Urinary tract obstruction	C0178879	
Hydronephrosis	C0020295	Urinary tract obstruction	C0178879	
Sarcoid meningitis	C0154648	Cerebral sarcoidosis	C0398676	
Vesicular eczema of hands and/or feet	C0032633	Sweat Gland Diseases	C0038986	
Hidradenitis	C0085160	Sweat Gland Diseases	C0038986	
Miliaria	C0026113	Sweat Gland Diseases	C0038986	
Fox Fordyce disease	C0016632	Sweat Gland Diseases	C0038986	
Hypohidrosis	C0020620	Sweat Gland Diseases	C0038986	
Nodular degeneration of cornea	C0155122	Corneal degeneration	C0155118	
Peripheral degeneration of cornea	C0155123	Corneal degeneration	C0155118	
Phthisical cornea	C0155102	Corneal degeneration	C0155118	
Recurrent erosion of cornea	C0155119	Corneal degeneration	C0155118	
Arcus Senilis	C0003742	Corneal degeneration	C0155118	
Keratomalacia	C0152455	Corneal degeneration	C0155118	
Corneal Dystrophy, Band-Shaped	C0155120	Corneal degeneration	C0155118	
Constant exophthalmos	C0155267	Orbital Diseases	C0029182	
Malignant tumor of orbit	C0153626	Orbital Diseases	C0029182	
Hemangioma of orbit	C1335128	Orbital Diseases	C0029182	
Orbital cyst	C0155285	Orbital Diseases	C0029182	
Chronic inflammation of orbit	C0155261	Orbital Diseases	C0029182	
Pulsating exophthalmos	C0155271	Orbital Diseases	C0029182	
Intermittent exophthalmos	C0155270	Orbital Diseases	C0029182	
Lateral displacement of eye	C0155272	Orbital Diseases	C0029182	
Endocrine exophthalmos	C0155264	Orbital Diseases	C0029182	
Acute inflammation of orbit	C0155256	Orbital Diseases	C0029182	
Enophthalmos	C0014306	Orbital Diseases	C0029182	
other eustachian tube disorder	C0155435	Non-suppurative otitis media	C0271446	
Acute transudative otitis media	C0271432	Non-suppurative otitis media	C0271446	
Chronic serous otitis media	C0155421	Non-suppurative otitis media	C0271446	
Acute follicular conjunctivitis	C0155143	Other mucopurulent conjunctivitis	C0029668	
Acute contagious conjunctivitis	C1313983	Other mucopurulent conjunctivitis	C0029668	
Serous conjunctivitis, except viral	C0155142	Other mucopurulent conjunctivitis	C0029668	
Pseudomembranous conjunctivitis	C0155144	Other mucopurulent conjunctivitis	C0029668	
Simple chronic conjunctivitis	C0155146	Chronic conjunctivitis	C0155145	
Conjunctivitis, Vernal	C0009773	Chronic conjunctivitis	C0155145	
Parasitic conjunctivitis	C0155148	Chronic conjunctivitis	C0155145	
Chronic follicular conjunctivitis	C0155147	Chronic conjunctivitis	C0155145	
Allergic Conjunctivitis	C0009766	Chronic conjunctivitis	C0155145	
Atrophic flaccid tympanic membrane	C0155470	Disorder of tympanic membrane	C0041825	
Bullous myringitis	C0155461	Disorder of tympanic membrane	C0041825	
Acute myringitis	C0155460	Disorder of tympanic membrane	C0041825	
Atrophic nonflaccid tympanic membrane	C0155471	Disorder of tympanic membrane	C0041825	
Tympanosclerosis involving other combination of structures	C0155477	Disorder of tympanic membrane	C0041825	
Chronic tympanitis	C0395849	Disorder of tympanic membrane	C0041825	
Meckel's diverticulitis	C0267497	Diverticulitis	C0012813	
Colonic Diverticulitis	C0012814	Diverticulitis	C0012813	
Diverticulitis of small intestine	C0267502	Diverticulitis	C0012813	
Kissing spine	C0158248	Spondylarthropathies	C0949691	
Traumatic spondylopathy	C0152088	Spondylarthropathies	C0949691	
Other inflammatory spondylopathies	C0029644	Spondylarthropathies	C0949691	
Hypermobility of the coccyx	C0158295	Spondylarthropathies	C0949691	
Fetus-to-fetus placental transfusion syndrome	C2909036	Anemia, Neonatal	C0002891	
Anemia of prematurity	C0158996	Anemia, Neonatal	C0002891	
Transient Neonatal Thrombocytopenia	C0158991	Transient neonatal neutropenia (disorder)	C0158997	
Periapical Granuloma	C0031029	Periapical Periodontitis	C0031030	
Suppurative Periapical Periodontitis	C0031024	Periapical Periodontitis	C0031030	
Acute apical periodontitis of pulpal origin	C0155934	Periapical Periodontitis	C0031030	
Asymptomatic periapical periodontitis	C0392492	Periapical Periodontitis	C0031030	
Tick Paralysis	C0040197	Tick Infestations	C0040196	
Suberosis	C0152108	Extrinsic allergic alveolitis	C0002390	
Sick Building Syndrome	C0037050	Extrinsic allergic alveolitis	C0002390	
Mushroom Worker's Lung	C0155889	Extrinsic allergic alveolitis	C0002390	
Malt-workers' lung	C0155888	Extrinsic allergic alveolitis	C0002390	
Farmer's Lung	C0015634	Extrinsic allergic alveolitis	C0002390	
Bird Fancier's Lung	C0005592	Extrinsic allergic alveolitis	C0002390	
Bagassosis	C0004681	Extrinsic allergic alveolitis	C0002390	
Humidifier lung	C0155891	Extrinsic allergic alveolitis	C0002390	
Pituitary Apoplexy	C0032001	Pituitary infarction	C0342405	
Occlusion and stenosis of carotid artery without mention of cerebral infarction	C0375275	Occlusion and stenosis of unspecified precerebral artery	C0155727	
Basilar artery occlusion	C0265098	Occlusion and stenosis of unspecified precerebral artery	C0155727	
Occlusion and stenosis of vertebral artery	C0155724	Occlusion and stenosis of unspecified precerebral artery	C0155727	
Pituitary infarction	C0342405	Necrosis of pituitary	C0271558	
Nodular episcleritis	C0155352	Scleral Diseases	C0036412	
Scleromalacia perforans	C0155354	Scleral Diseases	C0036412	
Scleritis	C0036416	Scleral Diseases	C0036412	
Episcleritis periodica fugax	C0155351	Scleral Diseases	C0036412	
Scleral staphyloma	C0155359	Scleral Diseases	C0036412	
Calculus in urethra	C0162301	Calculus of lower urinary tract	C0156264	
Calculus of prostate	C0149525	Calculus of lower urinary tract	C0156264	
Urinary bladder stone (disorder)	C0005683	Calculus of lower urinary tract	C0156264	
Deep vascularization of cornea	C0155095	Corneal Neovascularization	C0085109	
Pyeloureteritis cystica	C0156254	Pyelitis	C0034183	
Pyelonephritis	C0034186	Pyelitis	C0034183	
Choroideremia	C0008525	Choroid Diseases	C0008521	
Gyrate Atrophy	C0018425	Choroid Diseases	C0008521	
Choroiditis	C0008526	Choroid Diseases	C0008521	
Neuropathy	C0442874	Non-Neoplastic Peripheral Nervous System Disorder	C1335029	
Peroneal Nerve Paralysis	C0270810	Non-Neoplastic Peripheral Nervous System Disorder	C1335029	
Entrapment Neuropathies	C1510429	Non-Neoplastic Peripheral Nervous System Disorder	C1335029	
Hemangioma of Peripheral Nerve	C1333956	Non-Neoplastic Peripheral Nervous System Disorder	C1335029	
Polyradiculoneuropathy	C0032587	Non-Neoplastic Peripheral Nervous System Disorder	C1335029	
Radiculopathy	C0700594	Non-Neoplastic Peripheral Nervous System Disorder	C1335029	
Lumbosacral plexus lesion	C0154735	Non-Neoplastic Peripheral Nervous System Disorder	C1335029	
Polyneuropathy	C0152025	Non-Neoplastic Peripheral Nervous System Disorder	C1335029	
Nerve Sheath Tumors	C0206727	Non-Neoplastic Peripheral Nervous System Disorder	C1335029	
Cauda Equina Syndrome	C0392548	Non-Neoplastic Peripheral Nervous System Disorder	C1335029	
Peripheral autonomic neuropathy in disorders classified elsewhere	C0154691	Non-Neoplastic Peripheral Nervous System Disorder	C1335029	
Mitral Valve Prolapse Syndrome	C0026267	Rheumatic disease of mitral valve	C0264765	
Mitral Valve Stenosis	C0026269	Rheumatic disease of mitral valve	C0264765	
Mitral and aortic incompetence	C0264774	Rheumatic disease of mitral valve	C0264765	
Atypical Argyll-Robertson pupil (disorder)	C0155375	Other anomalies of pupillary function	C0155376	
Sclerosing keratitis	C0155090	Interstitial and deep keratitis	C0155087	
Corneal abscess	C0155091	Interstitial and deep keratitis	C0155087	
Posterior corneal pigmentation	C0155106	Corneal deposit	C0162281	
Anterior corneal pigmentation	C0155104	Corneal deposit	C0162281	
Neoplasm of oculomotor nerve	C1263895	Third cranial nerve disorder	C0271353	
Oculomotor Nerve Paralysis	C0028866	Third cranial nerve disorder	C0271353	
Chandler syndrome	C0544008	Corneal dystrophy	C0010036	
Acute mucoid otitis media	C0395863	Acute transudative otitis media	C0271432	
Acute sanguineous otitis media	C0395865	Acute transudative otitis media	C0271432	
Acute serous otitis media	C0155415	Acute transudative otitis media	C0271432	
Gastroparesis	C0152020	Dyspepsia and other specified disorders of function of stomach	C0013396	
Staphyloma posticum	C0155360	Scleral staphyloma	C0155359	
Equatorial staphyloma	C0155361	Scleral staphyloma	C0155359	
Localized anterior staphyloma	C0155362	Scleral staphyloma	C0155359	
Ring staphyloma	C0155363	Scleral staphyloma	C0155359	
Meningitis histoplasma	C0153277	Meningitis, Fungal	C0085438	
Penile Leukoplakia	C0022782	Other specified disorders of penis	C0029785	
Peyronie Disease	C0030848	Other specified disorders of penis	C0029785	
Phimosis	C0031538	Other specified disorders of penis	C0029785	
Balanitis	C0004690	Other specified disorders of penis	C0029785	
Balanoposthitis	C0004691	Other specified disorders of penis	C0029785	
Penile Neoplasms	C0030849	Other specified disorders of penis	C0029785	
Midline cystocele	C1456248	Other specified genital prolapse	C0029801	
Lateral cystocele	C2711750	Other specified genital prolapse	C0029801	
Enterocele	C0205792	Other specified genital prolapse	C0029801	
Pelvic floor hernia	C1456251	Other specified genital prolapse	C0029801	
pelvic muscle wasting	C1456255	Other specified genital prolapse	C0029801	
Conjunctival concretion	C0155162	Conjunctival deposit	C0162280	
Hyperlipoproteinemia Type III	C0020479	Hyperlipoproteinemias	C0020476	
Hypercholesterolemia, Familial	C0020445	Hyperlipoproteinemias	C0020476	
Hyperlipidemia, Familial Combined	C0020474	Hyperlipoproteinemias	C0020476	
Hyperlipoproteinemia Type IV	C0020480	Hyperlipoproteinemias	C0020476	
Hyperlipoproteinemia Type V	C0020481	Hyperlipoproteinemias	C0020476	
Selective immunoglobulin E deficiency	C0398694	Dysgammaglobulinemia	C0013374	
IgG Deficiency	C0162539	Dysgammaglobulinemia	C0013374	
Immunoglobulin A deficiency (disorder)	C0162538	Dysgammaglobulinemia	C0013374	
Selective immunoglobulin D deficiency	C0398695	Selective Immunoglobulin Isotype Deficiency	C1335942	
Dysgammaglobulinemia	C0013374	Selective Immunoglobulin Isotype Deficiency	C1335942	
Infection due to Bordetella parapertussis (disorder)	C0275742	Bordetella Infections	C0006015	
Choledocholithiasis	C0701818	Common Bile Duct Diseases	C0009440	
Bronchiectasis	C0006267	Bronchial Diseases	C0006261	
Acute bronchitis	C0149514	Bronchial Diseases	C0006261	
Bronchial Neoplasms	C0006264	Bronchial Diseases	C0006261	
Asthma	C0004096	Bronchial Diseases	C0006261	
Malignant neoplasm of bronchus or lung, unspecified	C0348343	Bronchial Diseases	C0006261	
Legg-Calve-Perthes Disease	C0023234	Other juvenile osteochondrosis	C0158445	
Scheuermann's Disease	C0036310	Other juvenile osteochondrosis	C0158445	
Juvenile osteochondrosis of foot, NOS	C0158444	Other juvenile osteochondrosis	C0158445	
Tuberculosis, Splenic	C0041331	Splenic Diseases	C0037997	
Malignant neoplasm of spleen	C0153470	Splenic Diseases	C0037997	
Hypersplenism	C0020532	Splenic Diseases	C0037997	
Hemangioma of spleen	C0685201	Splenic Diseases	C0037997	
Splenic Infarction	C0037998	Splenic Diseases	C0037997	
Splenic abscess	C0272412	Splenic Diseases	C0037997	
Chronic congestive splenomegaly	C0398661	Splenic Diseases	C0037997	
Splenic sequestration	C1260402	Splenic Diseases	C0037997	
Acute laryngitis with obstruction	C0949123	Laryngitis	C0023067	
Tuberculosis, Laryngeal	C0041315	Laryngitis	C0023067	
Chronic laryngitis	C0155836	Laryngitis	C0023067	
Angina, Unstable	C0002965	Chronic myocardial ischemia	C0264694	
Myocardial Infarction	C0027051	Chronic myocardial ischemia	C0264694	
Coronary Stenosis	C0242231	Chronic myocardial ischemia	C0264694	
Coronary Thrombosis	C0010072	Chronic myocardial ischemia	C0264694	
Congenital anomaly of coronary artery	C0158623	Chronic myocardial ischemia	C0264694	
Coronary Artery Vasospasm	C0010073	Chronic myocardial ischemia	C0264694	
Peripheral focal choroiditis AND chorioretinitis	C0339394	Focal chorioretinitis	C0154870	
Tarsal Tunnel Syndrome	C0039319	Tibial Neuropathy	C0751932	
Leukoplakia of vagina	C0156385	Vaginal Diseases	C0042251	
Vaginal Discharge	C0227791	Vaginal Diseases	C0042251	
Vaginitis and vulvovaginitis	C0042268	Vaginal Diseases	C0042251	
Vaginal Neoplasms	C0042258	Vaginal Diseases	C0042251	
Impetigo herpetiformis	C1314968	Impetigo	C0021099	
Ecthyma	C0013568	Impetigo	C0021099	
Dermatophytosis of scalp and beard	C0011640	Dermatophytosis	C0011636	
tinea manus	C0153246	Dermatophytosis	C0011636	
Cellulitis and abscess of unspecified digit	C0007644	Dermatophytosis	C0011636	
Tinea Pedis	C0040259	Dermatophytosis	C0011636	
Dermatophytosis of the body	C0546826	Dermatophytosis	C0011636	
Dermatophytosis of groin and perianal area	C0011638	Dermatophytosis	C0011636	
Bacterial Vaginosis	C0085166	Vaginitis and vulvovaginitis	C0042268	
Postmenopausal atrophic vaginitis	C0156409	Vaginitis and vulvovaginitis	C0042268	
Visual cortex dysfunction	C0234398	Disorder of visual pathways	C0155287	
Pseudopapilledema	C0155300	Disorder of visual pathways	C0155287	
Crater-like holes of optic disc	C0155298	Disorder of visual pathways	C0155287	
Coloboma of optic disc	C0155299	Disorder of visual pathways	C0155287	
Oculoglandular tularemia	C0152944	Other specified tularemia	C0029835	
Ulceroglandular tularemia	C0152941	Other specified tularemia	C0029835	
Infarction of testis	C0392041	Testicular Diseases	C0039584	
Non-specific granulomatous orchitis	C0436545	Testicular Diseases	C0039584	
Orchitis	C0029191	Testicular Diseases	C0039584	
Hematocele of tunica vaginalis testis	C0018931	Testicular Diseases	C0039584	
Spermatic Cord Torsion	C0037856	Testicular Diseases	C0039584	
Atrophy of testis	C0156312	Testicular Diseases	C0039584	
Lymphatic Diseases	C0024228	Unspecified disorder of immune mechanism	C0041806	
Immunologic Deficiency Syndromes	C0021051	Unspecified disorder of immune mechanism	C0041806	
Microsporidiosis	C0085407	Opportunistic mycosis	C0029119	
Geotrichosis	C0017455	Opportunistic mycosis	C0029119	
Candidiasis	C0006840	Opportunistic mycosis	C0029119	
Aspergillosis	C0004030	Opportunistic mycosis	C0029119	
Infection by Cryptococcus neoformans	C0010414	Opportunistic mycosis	C0029119	
Periarthritis	C0031037	Bursitis	C0006444	
Gonococcal bursitis	C0153218	Bursitis	C0006444	
Achilles bursitis	C0149846	Bursitis	C0006444	
Olecranon bursitis	C0263962	Bursitis	C0006444	
Specific bursitis often of occupational origin	C0158332	Bursitis	C0006444	
Transient arthropathy of the shoulder region	C0158007	Transient arthropathy	C0152083	
Trigeminal Neuralgia	C0040997	Other specified trigeminal nerve disorders	C0029834	
Gonococcal spondylitis	C0153219	Other inflammatory spondylopathies	C0029644	
Inflammatory spondylopathies in diseases classified elsewhere	C0021396	Other inflammatory spondylopathies	C0029644	
Secondary vitreoretinal degeneration	C0154859	Peripheral retinal degeneration	C1320640	
Paving stone retinal degeneration	C0154854	Peripheral retinal degeneration	C1320640	
Retinal lattice degeneration	C0154856	Peripheral retinal degeneration	C1320640	
Microcystoid retinal degeneration	C0154855	Peripheral retinal degeneration	C1320640	
Senile reticular retinal degeneration	C0154857	Peripheral retinal degeneration	C1320640	
Secondary pigmentary retinal degeneration	C0154858	Peripheral retinal degeneration	C1320640	
Other lesions of median nerve	C0154742	Mononeuritis of upper limb and mononeuritis multiplex	C0154741	
Mononeuritis of upper limb, unspecified	C0154746	Mononeuritis of upper limb and mononeuritis multiplex	C0154741	
Mononeuritis Multiplex	C0151295	Mononeuritis of upper limb and mononeuritis multiplex	C0154741	
Lesion of ulnar nerve	C1288279	Mononeuritis of upper limb and mononeuritis multiplex	C0154741	
Tinea profunda (disorder)	C1279621	Dermatophytosis of the body	C0546826	
Hemorrhoids	C0019112	Varicose veins of pelvis	C0155795	
Varicocele	C0042341	Varicose veins of pelvis	C0155795	
Waterhouse-Friderichsen Syndrome	C0043068	Adrenal Gland Diseases	C0001621	
Adrenal Cancer	C0750887	Adrenal Gland Diseases	C0001621	
Adrenal Cortex Diseases	C0001614	Adrenal Gland Diseases	C0001621	
Adrenal Gland Hyperfunction	C0001622	Adrenal Gland Diseases	C0001621	
Medulloadrenal hyperfunction	C0154206	Adrenal Gland Diseases	C0001621	
Pyoderma Gangrenosum	C0085652	Pyoderma	C0034212	
Impetigo	C0021099	Pyoderma	C0034212	
Erythrasma	C0014752	Pyoderma	C0034212	
Carbuncle and furuncle of unspecified site	C0007079	Pyoderma	C0034212	
Cutaneous diphtheria	C0012555	Pyoderma	C0034212	
Crigler Najjar syndrome, type 1	C0010324	Hyperbilirubinemia, Hereditary	C0020435	
Gilbert Disease	C0017551	Hyperbilirubinemia, Hereditary	C0020435	
Jaundice, Chronic Idiopathic	C0022350	Hyperbilirubinemia, Hereditary	C0020435	
Idiopathic pulmonary hypertension	C0152171	Other chronic pulmonary heart diseases	C0155673	
Kyphoscoliotic heart disease	C0152102	Other chronic pulmonary heart diseases	C0155673	
Granulomatous hepatitis	C0235369	Chronic Persistent Hepatitis	C0149519	
Hepatitis, Chronic, Drug-Induced	C0524912	Chronic Persistent Hepatitis	C0149519	
Acute alcoholic liver disease	C0001306	Chronic Persistent Hepatitis	C0149519	
Vincent Angina	C1527368	Acute gingivitis	C0155937	
Endolymphatic Hydrops	C0206586	Other peripheral vertigo	C0029706	
Benign Paroxysmal Positional Vertigo	C0155502	Other peripheral vertigo	C0029706	
Eustachian tube salpingitis	C0155428	other eustachian tube disorder	C0155435	
Patulous eustachian tube	C0155434	other eustachian tube disorder	C0155435	
Thyrotoxic exophthalmos	C0155265	Endocrine exophthalmos	C0155264	
Urethral abscess	C0156278	Urethral Diseases	C0041969	
Urethral diverticulum	C0152443	Urethral Diseases	C0041969	
Urethral false passage	C0156286	Urethral Diseases	C0041969	
Urethra Fibroepithelial Polyp	C1336884	Urethral Diseases	C0041969	
Urethral Carcinoma	C0700101	Urethral Diseases	C0041969	
Urethral Neoplasms	C0041971	Urethral Diseases	C0041969	
Urethral syndrome	C0156279	Urethral Diseases	C0041969	
Urethral intrinsic sphincter deficiency	C0375381	Urethral Diseases	C0041969	
Nonspecific urethritis	C0311389	Urethral Diseases	C0041969	
Urethral Obstruction	C0041972	Urethral Diseases	C0041969	
Prolapse of urethra	C0238502	Urethral Diseases	C0041969	
Other specified protozoal intestinal diseases	C0152507	Dysentery	C0013369	
Cicatricial entropion	C0155191	Entropion	C0014390	
Mechanical entropion	C0155189	Entropion	C0014390	
Senile entropion	C0155188	Entropion	C0014390	
Spastic entropion	C0155190	Entropion	C0014390	
Endophthalmitis	C0014236	Other degenerative disorders of globe	C0154780	
Anterior dislocation of lens	C0155372	Other degenerative disorders of globe	C0154780	
Posterior dislocation of lens	C0155373	Other degenerative disorders of globe	C0154780	
Nystagmus associated with disorder of the vestibular system	C0155379	Other degenerative disorders of globe	C0154780	
Luxation of eye	C0154806	Other degenerative disorders of globe	C0154780	
Sideroblastic anemia	C0002896	Aplastic Anemia	C0002874	
Leukoerythroblastic Anemia	C0002890	Aplastic Anemia	C0002874	
Congenital hypoplastic anemia	C0949116	Aplastic Anemia	C0002874	
Pure Red-Cell Aplasia	C0034902	Aplastic Anemia	C0002874	
Vulvitis	C0042996	Vulvar Diseases	C0042994	
Dystrophy of vulva	C0013426	Vulvar Diseases	C0042994	
Atrophy of vulva	C0156393	Vulvar Diseases	C0042994	
Ulceration of vulva associated with another disorder	C0156340	Vulvar Diseases	C0042994	
Malignant neoplasm of vulva	C0375071	Vulvar Diseases	C0042994	
Inflammation of subtendinous bursa of biceps femoris inferior muscle	C0158316	Enthesopathy	C0242490	
Tibial collateral ligament bursitis	C0158315	Enthesopathy	C0242490	
Pes anserinus tendinitis or bursitis	C0158314	Enthesopathy	C0242490	
Olfactory Nerve Disorder	C0751937	Disorders of other cranial nerves	C0154730	
Accessory Nerve Disorder	C0152180	Disorders of other cranial nerves	C0154730	
Glossopharyngeal Neuralgia	C0154731	Disorders of other cranial nerves	C0154730	
Multiple cranial nerve palsy	C0154733	Disorders of other cranial nerves	C0154730	
Hypoglossal Nerve Diseases	C0152181	Disorders of other cranial nerves	C0154730	
Vagus Nerve Disorder	C0152179	Disorders of other cranial nerves	C0154730	
Tibial nerve palsy	C0154751	Mononeuritis of lower limb	C0154747	
Lesion of Sciatic Nerve	C0154748	Mononeuritis of lower limb	C0154747	
Common peroneal nerve lesion (disorder)	C0270909	Mononeuritis of lower limb	C0154747	
Plantar nerve lesion	C0154752	Mononeuritis of lower limb	C0154747	
Ostertagiasis	C0029471	Trichostrongyloidiasis	C0040947	
Haemonchiasis	C0018477	Trichostrongyloidiasis	C0040947	
Trichostrongylosis	C0040948	Trichostrongyloidiasis	C0040947	
Phacolytic glaucoma	C0152137	Glaucoma associated with other lens disorders	C0154959	
Pyloric Stenosis	C0034194	Gastric outlet obstruction	C0162651	
Abnormal retinal correspondence	C0155010	Binocular vision disorder	C0005461	
Salpingitis isthmica nodosa	C0269043	Chronic salpingitis	C0269041	
Chronic gonococcal salpingitis	C0153208	Chronic salpingitis	C0269041	
Disseminated chorioretinitis	C0154879	Chorioretinitis	C0008513	
Focal chorioretinitis	C0154870	Chorioretinitis	C0008513	
Pars Planitis	C0030593	Chorioretinitis	C0008513	
Dentin Dysplasia	C0011430	Other specified diseases of hard tissues of teeth	C0029770	
Dentin Sensitivity	C0011432	Other specified diseases of hard tissues of teeth	C0029770	
Dental Enamel Hypoplasia	C0011351	Other specified diseases of hard tissues of teeth	C0029770	
Tooth Erosion	C0040436	Other specified diseases of hard tissues of teeth	C0029770	
Dental caries of smooth surface	C1456145	Other specified diseases of hard tissues of teeth	C0029770	
Tooth Resorption	C0040451	Other specified diseases of hard tissues of teeth	C0029770	
Hypercementosis	C0020441	Other specified diseases of hard tissues of teeth	C0029770	
Toxoplasmosis	C0040558	Coccidiosis	C0009187	
Sarcocystosis	C0036231	Coccidiosis	C0009187	
Isosporiasis	C0311386	Coccidiosis	C0009187	
Cyclosporiasis	C0343398	Coccidiosis	C0009187	
Spastic ectropion	C0155195	Ectropion	C0013592	
Mechanical ectropion	C0155194	Ectropion	C0013592	
Senile ectropion	C0155193	Ectropion	C0013592	
Cicatricial ectropion	C0155196	Ectropion	C0013592	
Myocarditis	C0027059	Cardiomyopathy in other diseases classified elsewhere	C0155699	
Cardiomyopathy, Alcoholic	C0007192	Cardiomyopathy in other diseases classified elsewhere	C0155699	
Cicatricial Lagophthalmos	C0155199	Lagophthalmos	C0152226	
Mechanical lagophthalmos	C0155198	Lagophthalmos	C0152226	
Paralytic Lagophthalmos	C0155197	Lagophthalmos	C0152226	
Anemia, Hemolytic, Congenital Nonspherocytic	C0002882	Anemia, Hemolytic, Congenital	C0002881	
Hemoglobinopathies	C0019045	Anemia, Hemolytic, Congenital	C0002881	
Congenital dyserythropoietic anemia	C0002876	Anemia, Hemolytic, Congenital	C0002881	
Hereditary spherocytosis	C0037889	Anemia, Hemolytic, Congenital	C0002881	
Chronic dacryocystitis	C0149506	Dacryocystitis	C0010930	
Phlegmonous dacryocystitis	C0155238	Dacryocystitis	C0010930	
Acute dacryocystitis	C0155237	Dacryocystitis	C0010930	
Dissection of carotid artery	C0338585	Carotid Artery Diseases	C0007273	
Carotid Stenosis	C0007282	Carotid Artery Diseases	C0007273	
Balanitis xerotica obliterans	C0152460	Balanitis	C0004690	
Cerebral Arterial Diseases	C0007774	Intracranial Arterial Diseases	C0752138	
Transient arterial retinal occlusion	C0154840	Retinal Artery Occlusion	C0035302	
Partial retinal artery occlusion	C0154839	Retinal Artery Occlusion	C0035302	
